experiment_id,metric,platform_a,value_a,platform_b,value_b,delta,status
bow_exp1_streamflow_only@SUMMA,KGE,macos,0.816604,macos_p3repro,0.872021,0.055417,DIFF
bow_exp2_tws_only@SUMMA,CORRELATION,macos,0.921173,macos_p3repro,0.877828,0.043345,DIFF
bow_exp3_joint@SUMMA,KGE,macos,0.842957,macos_p3repro,0.840768,0.002189,OK
bow_exp4_moead_joint@SUMMA,KGE,macos,0.866988,macos_p3repro,0.713845,0.153143,DIFF
cal_ensemble_fuse_abc@FUSE,KGE,macos,0.870525,macos_p3repro,0.870525,0.000000,OK
cal_ensemble_fuse_basin_hopping@FUSE,KGE,macos,0.862520,macos_p3repro,0.862520,0.000000,OK
cal_ensemble_fuse_bayesian_opt@FUSE,KGE,macos,0.835567,macos_p3repro,0.835567,0.000000,OK
cal_ensemble_fuse_cmaes@FUSE,KGE,macos,0.909039,macos_p3repro,0.909039,0.000000,OK
cal_ensemble_fuse_dds@FUSE,KGE,macos,0.909638,macos_p3repro,0.909638,0.000000,OK
cal_ensemble_fuse_de@FUSE,KGE,macos,0.908488,macos_p3repro,0.908488,0.000000,OK
cal_ensemble_fuse_dream@FUSE,KGE,macos,0.872713,macos_p3repro,0.872713,0.000000,OK
cal_ensemble_fuse_ga@FUSE,KGE,macos,0.887208,macos_p3repro,0.887208,0.000000,OK
cal_ensemble_fuse_glue@FUSE,KGE,macos,0.851469,macos_p3repro,0.851469,0.000000,OK
cal_ensemble_fuse_moead@FUSE,KGE,macos,0.904604,macos_p3repro,0.907961,0.003356,OK
cal_ensemble_fuse_nelder_mead@FUSE,KGE,macos,0.894987,macos_p3repro,0.894987,0.000000,OK
cal_ensemble_fuse_nsga2@FUSE,KGE,macos,0.898192,macos_p3repro,0.898192,0.000000,OK
cal_ensemble_fuse_pso@FUSE,KGE,macos,0.910320,macos_p3repro,0.910320,0.000000,OK
cal_ensemble_fuse_sa@FUSE,KGE,macos,0.891930,macos_p3repro,0.891930,0.000000,OK
