experiment_id,model,domain,metric,best_score,eval_score,best_iteration,run_completed,symfluence_version,code_commit,collected_at
cal_ensemble_hbv_abc@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8881216854,0.698920037,10,2026-07-21T20:09:07Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_adam@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9372688291,0.6852553932,152,2026-07-21T20:57:30Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_basin_hopping@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9004938171,0.8805386061,3,2026-07-21T21:51:59Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_bayesian_opt@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8918683442,0.7997949288,30,2026-07-21T22:11:22Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_cmaes@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9288707391,0.8145185643,50,2026-07-21T22:28:28Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_dds@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.938338602,0.7808242677,863,2026-07-21T22:48:15Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_de@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9090824594,0.7647987587,30,2026-07-21T23:20:16Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_dream@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9078622031,0.8417065445,20,2026-07-21T23:52:17Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_ga@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9160708111,0.8051035446,50,2026-07-22T00:17:35Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_glue@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9070656464,0.7280802672,1,2026-07-22T00:53:04Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_lbfgs@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9067362436,0.8096874195,124,2026-07-23T12:08:43Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_moead@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9364038321,0.7931349067,20,2026-07-22T08:31:37Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_nelder_mead@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9422489631,0.7905074286,999,2026-07-23T12:51:44Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_nsga2@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.890806599,0.8092327736,0,2026-07-22T09:47:09Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_pso@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9291632216,0.7862205915,45,2026-07-22T10:05:53Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_sa@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9157387057,0.7676863087,96,2026-07-22T10:24:46Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hbv_sceua@HBV,HBV,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9161990751,0.7978076774,7,2026-07-22T10:41:52Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hechms_abc@HECHMS,HECHMS,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8510982765,,14,2026-07-22T11:00:06Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hechms_adam@HECHMS,HECHMS,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8941685976,,329,2026-07-22T11:29:02Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hechms_basin_hopping@HECHMS,HECHMS,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.7995767336,,9,2026-07-22T11:58:58Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hechms_bayesian_opt@HECHMS,HECHMS,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.658403621,,42,2026-07-22T12:23:52Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hechms_cmaes@HECHMS,HECHMS,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8794903533,,28,2026-07-22T12:40:00Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hechms_dds@HECHMS,HECHMS,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9069368006,,975,2026-07-22T13:00:37Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hechms_de@HECHMS,HECHMS,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.9127300576,,49,2026-07-22T13:23:27Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hechms_dream@HECHMS,HECHMS,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8330178188,,7,2026-07-22T13:54:06Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hechms_ga@HECHMS,HECHMS,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.8748222766,,50,2026-07-23T13:15:48Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
cal_ensemble_hechms_glue@HECHMS,HECHMS,domain_Bow_at_Banff_lumped_calibration_ensemble,KGE,0.7419960427,,4,2026-07-23T13:37:14Z,0.9.2,a0acb3a1,2026-07-23T16:59:07Z
